Zelle;Kapazität in mAh;Temperatur in ;Volt/SOC;Relative Kapazität in %;Dauer d. Alterung in Tagen;(rel. Kal. Alterung %)/Tag;Verlust an abs. Kapa in mAh für entsprechende Tage;mAh/Tag;mAh/Jahr;Paper;Chemie
NCR18650BD;3200;25;20;0,85;202;0,000742;2,374393472;0,011754423;4,290364441;An evaluation study of different modelling techniques for calendar ageing prediction of lithium-ion batteries;NCA
NCR18650BD;3200;45;20;0,876;3,04;0,04075;130,4007907;42,87149283;15648,09488;An evaluation study of different modelling techniques for calendar ageing prediction of lithium-ion batteries;NCA
NCR18650BD;3200;45;20;0,863;73;0,001872;5,989432418;0,082047019;29,94716209;An evaluation study of different modelling techniques for calendar ageing prediction of lithium-ion batteries;NCA
NCR18650BD;3200;45;20;0,858;139;0,001023;3,27306543;0,023547233;8,594740159;An evaluation study of different modelling techniques for calendar ageing prediction of lithium-ion batteries;NCA
NCR18650BD;3200;45;20;0,838;202;0,0008;2,560812628;0,01267729;4,627210937;An evaluation study of different modelling techniques for calendar ageing prediction of lithium-ion batteries;NCA
NCR18650BD;3200;45;20;0,827;297;0,000581;1,860707021;0,006265007;2,286727484;An evaluation study of different modelling techniques for calendar ageing prediction of lithium-ion batteries;NCA
NCR18650BD;3200;45;20;0,811;385;0,00049;1,567157429;0,004070539;1,485746654;An evaluation study of different modelling techniques for calendar ageing prediction of lithium-ion batteries;NCA
NCR18650BD;3200;45;20;0,826;435;0,000401;1,283636774;0,002950889;1,077074535;An evaluation study of different modelling techniques for calendar ageing prediction of lithium-ion batteries;NCA
NCR18650PD;2800;50;20;0,94;300;0,0002;0,560024431;0,001866748;0,681363058;Calendar Aging of Lithium-Ion Batteries;NCA
NCR18650PD;2800;40;20;0,957;300;0,000144;0,40184761;0,001339492;0,488914593;Calendar Aging of Lithium-Ion Batteries;NCA
NCR18650PD;2800;25;20;0,972;300;0,000093;0,25942892;0,000864763;0,31563852;Calendar Aging of Lithium-Ion Batteries;NCA
UR18650E;2050;40;20;0,954;300;0,000152;0,311655405;0,001038851;0,379180743;Calendar Aging of Lithium-Ion Batteries;NMC
UR18650E;2050;25;20;0,977;300;0,000076;0,155827703;0,000519426;0,189590372;Calendar Aging of Lithium-Ion Batteries;NMC
APR18650M1A;1100;50;20;0,911;270;0,000329;0,361844994;0,001340167;0,489160825;Calendar Aging of Lithium-Ion Batteries;LFP
APR18650M1A;1100;40;20;0,944;270;0,000207;0,227193393;0,000841457;0,307131809;Calendar Aging of Lithium-Ion Batteries;LFP
APR18650M1A;1100;25;20;0,98;270;0,000075;0,082190629;0,00030441;0,111109554;Calendar Aging of Lithium-Ion Batteries;LFP
UR18650E;2050;50;20;0,948;160,51;0,000322;0,659963578;0,004111585;1,500728367;A holistic aging model for Li(NiMnCo)O2 based 18650 lithium-ion batteries;NMC
NCR18650PD;2800;25;30;0,972;288;0,000097;0,272978162;0,000947841;0,345961906;Calendar Aging of NCA Lithium-I;NCA
NCR18650PD;2800;50;30;0,932;285;0,000239;0,670531621;0,002352743;0,858751023;Calendar Aging of NCA Lithium-I;NCA
NCR18650PD;2800;50;30;0,932;300;0,000225;0,630401588;0,002101339;0,766988599;Calendar Aging of Lithium-Ion Batteries;NCA
NCR18650PD;2800;40;30;0,954;300;0,000155;0,432676745;0,001442256;0,526423373;Calendar Aging of Lithium-Ion Batteries;NCA
NCR18650PD;2800;25;30;0,972;300;0,000092;0,258665445;0,000862218;0,314709625;Calendar Aging of Lithium-Ion Batteries;NCA
UR18650E;2050;50;30;0,899;300;0,000335;0,686796171;0,002289321;0,835602008;Calendar Aging of Lithium-Ion Batteries;NMC
UR18650E;2050;40;30;0,943;300;0,000191;0,392454955;0,001308183;0,477486862;Calendar Aging of Lithium-Ion Batteries;NMC
UR18650E;2050;25;30;0,975;300;0,000084;0,173141892;0,00057714;0,210655968;Calendar Aging of Lithium-Ion Batteries;NMC
APR18650M1A;1100;50;30;0,899;270;0,000376;0,413294798;0,001530721;0,558713338;Calendar Aging of Lithium-Ion Batteries;LFP
APR18650M1A;1100;40;30;0,938;270;0,000228;0,251022356;0,000929712;0,339345036;Calendar Aging of Lithium-Ion Batteries;LFP
APR18650M1A;1100;25;30;0,973;270;0,0001;0,109465545;0,000405428;0,147981199;Calendar Aging of Lithium-Ion Batteries;LFP
UR18650E;2050;50;30;0,819;515,29;0,00035;0,718517392;0,001394403;0,508957077;A holistic aging model for Li(NiMnCo)O2 based 18650 lithium-ion batteries;NMC
INR18650-26F;2600;60;38;1,011;30;-0,000361;-0,937398867;-0,031246629;-11,40501955;Comparative Study on the Calendar Ageing;NMC
INR18650-26F;2600;60;38;1,004;60;-0,000069;-0,180117314;-0,003001955;-1,09571366;Comparative Study on the Calendar Ageing;NMC
INR18650-26F;2600;60;38;1,001;90;-0,000007;-0,017967907;-0,000199643;-0,072869846;Comparative Study on the Calendar Ageing;NMC
INR18650-26F;2600;60;38;0,995;120;0,000043;0,112737662;0,000939481;0,342910388;Comparative Study on the Calendar Ageing;NMC
INR18650-25R;2500;60;38;1,015;30;-0,000483;-1,208535599;-0,04028452;-14,70384978;Comparative Study on the Calendar Ageing;NCA
INR18650-25R;2500;60;38;1,004;60;-0,000067;-0,166868932;-0,002781149;-1,015119337;Comparative Study on the Calendar Ageing;NCA
INR18650-25R;2500;60;38;0,991;90;0,000101;0,253253101;0,002813923;1,027082022;Comparative Study on the Calendar Ageing;NCA
INR18650-25R;2500;60;38;0,981;120;0,000155;0,386832524;0,003223604;1,176615595;Comparative Study on the Calendar Ageing;NCA
UR18650ZY;2600;60;38;1,058;30;-0,001949;-5,066949838;-0,168898328;-61,6478897;Comparative Study on the Calendar Ageing;LCO
UR18650ZY;2600;60;38;1,048;60;-0,000794;-2,065432848;-0,034423881;-12,56471649;Comparative Study on the Calendar Ageing;LCO
UR18650ZY;2600;60;38;1,037;90;-0,000416;-1,082895092;-0,012032168;-4,391741205;Comparative Study on the Calendar Ageing;LCO
UR18650ZY;2600;60;38;1,024;120;-0,000201;-0,522931837;-0,004357765;-1,590584336;Comparative Study on the Calendar Ageing;LCO
NITECORE 2000mAh (?);2000;60;38;1,13;30;-0,004317;-8,634708738;-0,287823625;-105,055623;Comparative Study on the Calendar Ageing;LMO
NITECORE 2000mAh (?);2000;60;38;1,124;60;-0,002074;-4,148462783;-0,069141046;-25,23648193;Comparative Study on the Calendar Ageing;LMO
NITECORE 2000mAh (?);2000;60;38;1,122;90;-0,001356;-2,711367314;-0,030126303;-10,99610077;Comparative Study on the Calendar Ageing;LMO
NITECORE 2000mAh (?);2000;60;38;1,118;120;-0,000986;-1,971834547;-0,016431955;-5,997663414;Comparative Study on the Calendar Ageing;LMO
INR18650-26F;2600;50;38;1,045;100;-0,000455;-1,182821671;-0,011828217;-4,3172991;Comparative Study on the Calendar Ageing;NMC
INR18650-26F;2600;50;38;1,039;150;-0,000257;-0,667551862;-0,004450346;-1,624376198;Comparative Study on the Calendar Ageing;NMC
INR18650-25R;2500;50;38;1,122;100;-0,001225;-3,062265053;-0,030622651;-11,17726744;Comparative Study on the Calendar Ageing;NCA
INR18650-25R;2500;50;38;1,122;150;-0,000817;-2,041510035;-0,013610067;-4,967674419;Comparative Study on the Calendar Ageing;NCA
UR18650ZY;2600;50;38;1,155;100;-0,001551;-4,0333108;-0,040333108;-14,72158442;Comparative Study on the Calendar Ageing;LCO
UR18650ZY;2600;50;38;1,172;150;-0,001149;-2,986779221;-0,019911861;-7,267829439;Comparative Study on the Calendar Ageing;LCO
NITECORE 2000mAh (?);2000;50;38;1,26;100;-0,002596;-5,191744158;-0,051917442;-18,94986618;Comparative Study on the Calendar Ageing;LMO
NITECORE 2000mAh (?);2000;50;38;1,253;150;-0,001687;-3,374141734;-0,022494278;-8,210411552;Comparative Study on the Calendar Ageing;LMO
NCR18650PD;2800;25;40;0,972;288;0,000096;0,268778498;0,000933259;0,340639416;Calendar Aging of NCA Lithium-I;NCA
NCR18650PD;2800;50;40;0,932;285;0,000239;0,670531621;0,002352743;0,858751023;Calendar Aging of NCA Lithium-I;NCA
NCR18650PD;2800;50;40;0,93;300;0,000233;0,653351657;0,002177839;0,794911182;Calendar Aging of Lithium-Ion Batteries;NCA
NCR18650PD;2800;40;40;0,95;300;0,000166;0,463505879;0,00154502;0,563932152;Calendar Aging of Lithium-Ion Batteries;NCA
NCR18650PD;2800;25;40;0,974;300;0,000086;0,242052222;0,000806841;0,29449687;Calendar Aging of Lithium-Ion Batteries;NCA
UR18650E;2050;50;40;0,886;300;0,00038;0,779138514;0,002597128;0,947951858;Calendar Aging of Lithium-Ion Batteries;NMC
UR18650E;2050;40;40;0,938;300;0,000208;0,427083333;0,001423611;0,519618056;Calendar Aging of Lithium-Ion Batteries;NMC
UR18650E;2050;25;40;0,974;300;0,000087;0,178913288;0,000596378;0,217677834;Calendar Aging of Lithium-Ion Batteries;NMC
APR18650M1A;1100;50;40;0,883;270;0,000432;0,475089112;0,001759589;0,642250096;Calendar Aging of Lithium-Ion Batteries;LFP
APR18650M1A;1100;40;40;0,929;270;0,000262;0,288655087;0,001069093;0,390218913;Calendar Aging of Lithium-Ion Batteries;LFP
APR18650M1A;1100;25;40;0,97;270;0,000112;0,122916735;0,000455247;0,166165215;Calendar Aging of Lithium-Ion Batteries;LFP
UR18650E;2050;50;40;0,816;515,95;0,000357;0,732489212;0,001419688;0,518186281;A holistic aging model for Li(NiMnCo)O2 based 18650 lithium-ion batteries;NMC
NCR18650PD;2800;25;45;0,971;288;0,0001;0,28137749;0,000977005;0,356606888;Calendar Aging of NCA Lithium-I;NCA
NCR18650PD;2800;50;45;0,928;285;0,000252;0,704482589;0,002471869;0,902232087;Calendar Aging of NCA Lithium-I;NCA
NCR18650PD;2800;50;45;0,927;300;0,000242;0,676683463;0,002255612;0,823298213;Calendar Aging of Lithium-Ion Batteries;NCA
NCR18650PD;2800;40;45;0,95;300;0,000165;0,463124141;0,001543747;0,563467705;Calendar Aging of Lithium-Ion Batteries;NCA
NCR18650PD;2800;25;45;0,971;300;0,000098;0,273308902;0,00091103;0,332525831;Calendar Aging of Lithium-Ion Batteries;NCA
UR18650E;2050;40;45;0,934;300;0,00022;0,450168919;0,001500563;0,547705518;Calendar Aging of Lithium-Ion Batteries;NMC
UR18650E;2050;25;45;0,972;300;0,000093;0,190456081;0,000634854;0,231721565;Calendar Aging of Lithium-Ion Batteries;NMC
APR18650M1A;1100;40;45;0,925;270;0,000278;0,305738497;0,001132365;0,413313153;Calendar Aging of Lithium-Ion Batteries;LFP
APR18650M1A;1100;25;45;0,971;270;0,000108;0,119297819;0,000441844;0,161272978;Calendar Aging of Lithium-Ion Batteries;LFP
NCR18650PD;2800;25;50;0,97;288;0,000103;0,289776818;0,00100617;0,36725187;Calendar Aging of NCA Lithium-I;NCA
NCR18650PD;2800;50;50;0,927;285;0,000255;0,712970331;0,00250165;0,913102353;Calendar Aging of NCA Lithium-I;NCA
NCR18650BD;3200;10;50;0,886;3,04;0,037545;120,1435246;39,49924096;14417,22295;An evaluation study of different modelling techniques for calendar ageing prediction of lithium-ion batteries;NCA
NCR18650BD;3200;10;50;0,862;73;0,001895;6,063765216;0,083065277;30,31882608;An evaluation study of different modelling techniques for calendar ageing prediction of lithium-ion batteries;NCA
NCR18650BD;3200;10;50;0,861;139;0,000999;3,196515801;0,022996517;8,393728542;An evaluation study of different modelling techniques for calendar ageing prediction of lithium-ion batteries;NCA
NCR18650BD;3200;10;50;0,854;202;0,000721;2,30594374;0,011415563;4,166680521;An evaluation study of different modelling techniques for calendar ageing prediction of lithium-ion batteries;NCA
NCR18650BD;3200;10;50;0,838;297;0,000546;1,745903403;0,005878463;2,145638862;An evaluation study of different modelling techniques for calendar ageing prediction of lithium-ion batteries;NCA
NCR18650BD;3200;10;50;0,832;385;0,000437;1,39767827;0,003630333;1,325071607;An evaluation study of different modelling techniques for calendar ageing prediction of lithium-ion batteries;NCA
NCR18650BD;3200;10;50;0,837;435;0,000375;1,200688065;0,002760202;1,007473893;An evaluation study of different modelling techniques for calendar ageing prediction of lithium-ion batteries;NCA
