Zelle;Kapazität in mAh;Temperatur;Volt/SOC;Relative Kapazität in %;Dauer d. Alterung in Tagen;Rel. Kapa. % / Tag;Verlust an abs. Kapa in mAh für entsprechende Tage;mAh/Tag;mAh/Jahr;Paper;Chemie;Art d. Alterung;Kondition der Alterung
NCR18650PD;2800;25;100;0.965;267.0;0.0131086;98;0.367041199;133.9700375;Calendar Aging of NCA Lithium-I;NCA;Calendar;Keine Angabe
NCR18650PD;2800;55;100;0.895;258.0;0.0406977;294;1.139534884;415.9302326;Calendar Aging of NCA Lithium-I;NCA;Calendar;Keine Angabe
NCR18650PD;2800;25;5;0.979;288.0;0.0072917;58.8;0.204166667;74.52083333;Calendar Aging of NCA Lithium-I;NCA;Calendar;Keine Angabe
NCR18650PD;2800;50;5;0.954;285.0;0.0161404;128.8;0.451929825;164.954386;Calendar Aging of NCA Lithium-I;NCA;Calendar;Keine Angabe
NCR18650PD;2800;50;5;0.954;300.0;0.0153333;128.8;0.429333333;156.7066667;Calendar Aging of Lithium-Ion Batteries;NCA;Calendar;Keine Angabe
NCR18650PD;2800;40;5;0.967;300.0;0.0110000;92.4;0.308;112.42;Calendar Aging of Lithium-Ion Batteries;NCA;Calendar;Keine Angabe
NCR18650PD;2800;25;5;0.980;300.0;0.0066667;56;0.186666667;68.13333333;Calendar Aging of Lithium-Ion Batteries;NCA;Calendar;Keine Angabe
UR18650E;2050;50;5;0.953;300.0;0.0156667;96.35;0.321166667;117.2258333;Calendar Aging of Lithium-Ion Batteries;NMC;Calendar;Keine Angabe
UR18650E;2050;40;5;0.971;300.0;0.0096667;59.45;0.198166667;72.33083333;Calendar Aging of Lithium-Ion Batteries;NMC;Calendar;Keine Angabe
UR18650E;2050;25;5;0.986;300.0;0.0046667;28.7;0.095666667;34.91833333;Calendar Aging of Lithium-Ion Batteries;NMC;Calendar;Keine Angabe
APR18650M1A;1100;50;5;0.926;270.0;0.0274074;81.4;0.301481481;110.0407407;Calendar Aging of Lithium-Ion Batteries;LFP;Calendar;Keine Angabe
APR18650M1A;1100;40;5;0.964;270.0;0.0133333;39.6;0.146666667;53.53333333;Calendar Aging of Lithium-Ion Batteries;LFP;Calendar;Keine Angabe
APR18650M1A;1100;25;5;0.993;270.0;0.0025926;7.7;0.028518519;10.40925926;Calendar Aging of Lithium-Ion Batteries;LFP;Calendar;Keine Angabe
NCR18650PD;2800;25;10;0.978;288.0;0.0076389;61.6;0.213888889;78.06944444;Calendar Aging of NCA Lithium-I;NCA;Calendar;Keine Angabe
NCR18650PD;2800;50;10;0.951;285.0;0.0171930;137.2;0.481403509;175.7122807;Calendar Aging of NCA Lithium-I;NCA;Calendar;Keine Angabe
NCR18650PD;2800;50;10;0.951;300.0;0.0163333;137.2;0.457333333;166.9266667;Calendar Aging of Lithium-Ion Batteries;NCA;Calendar;Keine Angabe
NCR18650PD;2800;40;10;0.965;300.0;0.0116667;98;0.326666667;119.2333333;Calendar Aging of Lithium-Ion Batteries;NCA;Calendar;Keine Angabe
NCR18650PD;2800;25;10;0.976;300.0;0.0080000;67.2;0.224;81.76;Calendar Aging of Lithium-Ion Batteries;NCA;Calendar;Keine Angabe
UR18650E;2050;50;10;0.938;300.0;0.0206667;127.1;0.423666667;154.6383333;Calendar Aging of Lithium-Ion Batteries;NMC;Calendar;Keine Angabe
UR18650E;2050;40;10;0.965;300.0;0.0116667;71.75;0.239166667;87.29583333;Calendar Aging of Lithium-Ion Batteries;NMC;Calendar;Keine Angabe
UR18650E;2050;25;10;0.981;300.0;0.0063333;38.95;0.129833333;47.38916667;Calendar Aging of Lithium-Ion Batteries;NMC;Calendar;Keine Angabe
APR18650M1A;1100;50;10;0.920;270.0;0.0296296;88;0.325925926;118.962963;Calendar Aging of Lithium-Ion Batteries;LFP;Calendar;Keine Angabe
APR18650M1A;1100;40;10;0.953;270.0;0.0174074;51.7;0.191481481;69.89074074;Calendar Aging of Lithium-Ion Batteries;LFP;Calendar;Keine Angabe
APR18650M1A;1100;25;10;0.984;270.0;0.0059259;17.6;0.065185185;23.79259259;Calendar Aging of Lithium-Ion Batteries;LFP;Calendar;Keine Angabe
UR18650E;2050;50;10;0.906;513.6;0.0183040;192.7;0.375231234;136.9594003;A holistic aging model for Li(NiMnCo)O2 based 18650 lithium-ion batteries;NMC;Calendar;Keine Angabe
NCR18650PD;2800;25;20;0.973;288.0;0.0093750;75.6;0.2625;95.8125;Calendar Aging of NCA Lithium-I;NCA;Calendar;Keine Angabe
NCR18650PD;2800;50;20;0.940;285.0;0.0210526;168;0.589473684;215.1578947;Calendar Aging of NCA Lithium-I;NCA;Calendar;Keine Angabe
NCR18650BD;3200;10;20;0.886;3.0;3.7500000;364.8;120;43800;An evaluation study of different modelling techniques for calendar ageing prediction of lithium-ion batteries;NCA;Calendar;Keine Angabe
NCR18650BD;3200;10;20;0.859;73.0;0.1931507;451.2;6.180821918;2256;An evaluation study of different modelling techniques for calendar ageing prediction of lithium-ion batteries;NCA;Calendar;Keine Angabe
NCR18650BD;3200;10;20;0.857;139.0;0.1028777;457.6;3.292086331;1201.611511;An evaluation study of different modelling techniques for calendar ageing prediction of lithium-ion batteries;NCA;Calendar;Keine Angabe
NCR18650BD;3200;10;20;0.847;202.0;0.0757426;489.6;2.423762376;884.6732673;An evaluation study of different modelling techniques for calendar ageing prediction of lithium-ion batteries;NCA;Calendar;Keine Angabe
NCR18650BD;3200;10;20;0.830;297.0;0.0572391;544;1.831649832;668.5521886;An evaluation study of different modelling techniques for calendar ageing prediction of lithium-ion batteries;NCA;Calendar;Keine Angabe
